%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.position.x,field.pose.position.y,field.pose.position.z,field.pose.orientation.x,field.pose.orientation.y,field.pose.orientation.z,field.pose.orientation.w
1752630011234489917,32,1752630011234489917,map,0.0469413799231,0.0034428483002,0.019084652742,-0.0022701266474,-0.000868791490473,0.0105428771285,0.999941466526
1752630012234457015,33,1752630012234457015,map,0.0568156305328,0.00678007081556,0.0231615564435,-0.00514906281586,-0.000931157928867,0.0198071576428,0.999790124923
1752630013234489917,34,1752630013234489917,map,0.0652075083882,0.0129572912187,0.0268395622624,-0.0100953911351,-0.00110221265709,0.0327853310176,0.99941081333
1752630014234494924,35,1752630014234494924,map,0.0742975674136,0.0145409346802,0.0309097831886,-0.0111100497336,-0.00150307383552,0.0359315537748,0.999291362615
1752630015234491109,36,1752630015234491109,map,0.0863598574095,0.0168428656814,0.0347915822661,-0.0125114851559,-0.00172118384914,0.041147581316,0.999073262245
1752630016234462976,37,1752630016234462976,map,0.0948780259694,0.0198627808433,0.0375459585365,-0.0155720124505,-0.00215727613311,0.0463855436843,0.998799900317
1752630017234486103,38,1752630017234486103,map,0.105833909157,0.0170026396852,0.0404548304521,-0.0129312739325,-0.00266691639745,0.0406290977684,0.999087051052
1752630018234518051,39,1752630018234518051,map,0.118094258899,0.0126221581619,0.0459379624737,-0.00917062358907,-0.00235178586428,0.027333431525,0.99958153254
1752630019234513044,40,1752630019234513044,map,0.130218436839,0.00374375902988,0.0503616714662,-0.000501301564969,-0.00250032977863,0.0124156301527,0.999919672064
1752630020238468885,41,1752630020238468885,map,0.144672177817,-0.00202598263485,0.0564871990265,0.00377429782904,-0.0020308744433,-0.00577002930418,0.999974168503
1752630021234478950,42,1752630021234478950,map,0.155124670225,-0.0092746261229,0.0612603355946,0.0107750301145,-0.0019884317461,-0.0161905085866,0.999808896699
1752630022234610080,43,1752630022234610080,map,0.165594309587,-0.0128145877149,0.0662462941631,0.0133953836408,-0.00141718461196,-0.0317635491857,0.999404640593
1752630023234499931,44,1752630023234499931,map,0.184592626423,-0.0285404585314,0.0761273040446,0.0277945459977,-0.000333970725771,-0.0624355726802,0.997661837306
1752630024234473943,45,1752630024234473943,map,0.193226097306,-0.0340083377747,0.0788234080059,0.0322657936205,-0.000655246434073,-0.0687131253028,0.997114339337
1752630025234518051,46,1752630025234518051,map,0.203777388319,-0.0390407677241,0.0821671147645,0.0352984727499,6.57969045843e-05,-0.0786947810011,0.996273637872
1752630026234492063,47,1752630026234492063,map,0.212224842256,-0.047675180239,0.0877535189552,0.0439446221951,6.85017585098e-05,-0.0929370394339,0.994701751753
1752630027234519004,48,1752630027234519004,map,0.221691820591,-0.052606280264,0.0929852559578,0.0484528584715,0.000776940376111,-0.108549656827,0.992909206523
1752630028234534978,49,1752630028234534978,map,0.232646263099,-0.0579407033454,0.097964603527,0.053967101309,0.00115551897582,-0.121365692429,0.991139038184
1752630029234519958,50,1752630029234519958,map,0.244249529867,-0.0619795279966,0.104131726781,0.0576936819755,0.0015881573686,-0.128817379844,0.989987374524
1752630030234771013,51,1752630030234771013,map,0.254794856536,-0.0650015484349,0.107941909758,0.0592958913543,0.00155220174129,-0.13710263637,0.988779274221
1752630031234476089,52,1752630031234476089,map,0.266188361911,-0.070672106531,0.112509892724,0.0638562978796,0.00104499901216,-0.145881499847,0.987238511038
1752630032237653970,53,1752630032237653970,map,0.278438520924,-0.0751415816142,0.117251741259,0.0662100361624,0.00175943266445,-0.156009968045,0.985532352735
1752630033234491109,54,1752630033234491109,map,0.285357022697,-0.0800898461519,0.12323651599,0.0730613102187,0.00205341623335,-0.164981145069,0.983584790723
1752630034234514951,55,1752630034234514951,map,0.29218302719,-0.0794955339027,0.126673861463,0.0724447717473,0.0027549153227,-0.166672994295,0.983343416434
1752630035238472938,56,1752630035238472938,map,0.300904019399,-0.0791342573175,0.131391401704,0.0727240484472,0.00257590593995,-0.168077985026,0.983084112276
