ts,parent_frame,child_frame,position.x,position.y,position.z,orientation.x,orientation.y,orientation.z,orientation.w
1651065460761735439,camera_left_start,camera_left_gt,1.230392618012388e-05,-1.2486508784416428e-05,-4.306038855900196e-06,0.00028269681661444905,-2.5615771444331692e-05,-8.987009216275182e-06,0.9999999596727875
1651065461095164775,camera_left_start,camera_left_gt,1.230392618012388e-05,-1.2486508784416428e-05,-4.306038855900196e-06,0.00028269681661444905,-2.5615771444331692e-05,-8.987009216275182e-06,0.9999999596727875
1651065461428486347,camera_left_start,camera_left_gt,1.6722631101195873e-05,-1.6896953343135956e-05,1.120473904687308e-05,0.0002462348369074921,1.0696197743631508e-05,-4.5802351035051516e-06,0.9999999696165089
1651065461761808872,camera_left_start,camera_left_gt,1.7705081229113517e-05,-9.292506688365898e-06,2.0332371719528064e-05,0.0002648203447007494,1.8067453570580483e-05,-1.586970544357481e-05,0.9999999646459519
1651065462095265388,camera_left_start,camera_left_gt,-7.428877601967088e-08,5.011456932213498e-07,3.9737162846574525e-06,3.4945344134613775e-05,1.0374227276344072e-05,1.306316629701933e-05,0.9999999992502759
1651065462428450584,camera_left_start,camera_left_gt,-3.0237332911298154e-05,8.767784310692583e-06,-2.2768810172039966e-05,-0.00023061693275123414,-1.3386808561000052e-05,6.289156622942707e-05,0.9999999713406369
1651065462761817932,camera_left_start,camera_left_gt,-1.6729862241771087e-05,3.3416170557715175e-07,-3.292981166753972e-06,-3.289687162976606e-05,-8.917954289033858e-06,3.159117407104169e-05,0.9999999989201317
1651065463095336675,camera_left_start,camera_left_gt,-4.569517476360474e-05,2.004048966434968e-05,-2.7057877189918395e-05,-0.00028184757352316304,-3.0501682236727667e-05,7.653699484886826e-05,0.9999999568868395
1651065463428479909,camera_left_start,camera_left_gt,-4.845670419406645e-05,3.4134572835853305e-05,-3.0228336687455892e-05,-0.00042068310198302395,-3.5567552318593876e-05,3.630222902081359e-05,0.9999999102214087
1651065463761920213,camera_left_start,camera_left_gt,-2.0621422237354636e-05,2.173835108394695e-05,-8.148715172705268e-06,-0.00020019228250061735,6.4635021354009226e-06,-4.886945093428751e-05,0.9999999787465247
1651065464095187902,camera_left_start,camera_left_gt,1.01049950185228e-07,1.5703238140020448e-05,6.530095719978202e-06,-6.899901458079174e-05,8.626876814799012e-06,-8.798864874838517e-05,0.9999999937113556
1651065464428500652,camera_left_start,camera_left_gt,-1.3590442562438909e-05,1.6564197011494086e-05,-2.374711745682656e-07,-0.0001366371110997377,-2.145895135974296e-05,-2.7434096885389412e-05,0.9999999900585921
1651065464761790990,camera_left_start,camera_left_gt,-8.585421075846256e-05,2.6304559862452837e-05,-5.230011610743435e-05,-0.00045496369358264614,9.326759295313902e-05,-0.00013496432688653732,0.9999998830469053
1651065465095257043,camera_left_start,camera_left_gt,-0.00015086016741516772,2.8672180606696684e-05,-8.859370261316696e-05,-0.0006716010261604422,0.00018018904566574623,-0.000228680055100775,0.9999997320946649
1651065465428458929,camera_left_start,camera_left_gt,-0.00019916225637972573,3.3123281769784074e-05,-0.00011512157133275816,-0.0008516932348468918,0.0002163609959621171,-0.00028234221074941856,0.9999995740446238
1651065465761878967,camera_left_start,camera_left_gt,-0.00021631171066616162,5.279407338421721e-05,-0.00012805765563199747,-0.0010639359157537786,0.0002248246014726618,-0.0003240047884961917,0.9999993562573742
1651065466095256567,camera_left_start,camera_left_gt,-0.0002262772120165124,6.0677668090806935e-05,-0.00013006746444114287,-0.0011108714685383759,0.00019903948660426884,-0.0003408922836611833,0.9999993050699159
1651065466428477287,camera_left_start,camera_left_gt,-0.00014122192115184617,5.590090681231036e-05,-7.195569280099914e-05,-0.0006745657515666464,0.00014215175062526342,-0.00023520470753833603,0.9999997347163009
1651065466761839866,camera_left_start,camera_left_gt,-6.432175126880324e-05,4.027877564297122e-05,-3.798343295273454e-06,-0.0001719961875353709,-2.343913785951557e-06,-0.00010708758002220617,0.9999999794720339
1651065467095229387,camera_left_start,camera_left_gt,-2.6436349991776353e-05,1.5793329891516938e-06,3.1645340493990926e-05,0.00056651505495206,-7.09597643226978e-05,-0.00012165530348650805,0.9999998296126813
1651065467428541660,camera_left_start,camera_left_gt,-9.472230466656129e-08,-3.092973476055694e-05,0.00010680407102064624,0.001362039591725182,-4.9145291308061445e-05,-0.00013376118552771936,0.9999990622699786
1651065467761841535,camera_left_start,camera_left_gt,2.568917400580517e-05,3.9440590951067556e-05,0.0001936442743452442,0.0014624161078977285,8.888560937270196e-05,-0.00013612431099201288,0.999998917453738
1651065468095344066,camera_left_start,camera_left_gt,-1.0188188346305083e-06,0.0004555112210857179,0.0003424799516778647,0.001059489344744316,0.00025843354322641066,-0.00045820062324074474,0.9999993003730657
1651065468428572177,camera_left_start,camera_left_gt,7.275184633881437e-05,0.00029359376560934153,0.0008399055410991396,0.0017396539088259284,0.0005479715598977197,-0.00036937862701950084,0.9999982684439395
1651065468761847019,camera_left_start,camera_left_gt,0.00014181930883516713,9.485980126439086e-05,0.0009618159537876925,0.0018738027021961915,0.0009467010121149144,-0.00011486865991883874,0.9999977897104662
1651065469095316171,camera_left_start,camera_left_gt,9.382661015511218e-05,0.00016319117757339352,0.0008526144310697648,0.0019003507443880493,0.0008178645752890956,-0.00013057102283914145,0.9999978513555882
1651065469428545475,camera_left_start,camera_left_gt,0.0002124439299171499,-3.772528601862779e-06,0.001741179630516846,0.0032007864860285422,0.001355229744111619,9.25331050901407e-05,0.999993954859646
1651065469761920690,camera_left_start,camera_left_gt,0.00018944686711064307,-0.00043282131581319494,0.0027431056069407156,0.003996685662768401,0.0015456058948574158,0.00025561922949771435,0.9999907860900218
1651065470095341920,camera_left_start,camera_left_gt,0.00019698714880300727,-0.0007205199531654383,0.003419872234696062,0.003999598995135068,0.0015388303068728515,0.00030224784853288394,0.9999907718851225
1651065470428519487,camera_left_start,camera_left_gt,0.0007547219514285608,-0.0026369389669331778,0.007685913967915847,0.0029416818768963236,0.0025011107215860973,0.0004561497231233933,0.9999924414115957
